name,hex,red,green,blue
COLOR_BG,#050706,5,7,6
COLOR_PANEL,#080C0A,8,12,10
COLOR_WORLD,#060907,6,9,7
COLOR_GRID,#112A1D,17,42,29
COLOR_LINE,#74A68C,116,166,140
COLOR_TEXT,#D9F7E6,217,247,230
COLOR_MUTED,#7DA08E,125,160,142
COLOR_ACCENT,#55EDA2,85,237,162
COLOR_KEY,#234837,35,72,55
COLOR_WARN,#F2D36B,242,211,107
COLOR_DANGER,#F26B6B,242,107,107
COLOR_BLOOM,#E28AF2,226,138,242
COLOR_EMITTER,#F29B6B,242,155,107
COLOR_BULWARK,#6BB7F2,107,183,242
COLOR_SCANNER,#69C6F2,105,198,242
COLOR_AIR,#3D4742,61,71,66
COLOR_AIR_LIVE,#646E69,100,110,105
COLOR_COLD_WORLD,#06090F,6,9,15
COLOR_COLD_GRID,#142638,20,38,56
COLOR_COLD_WALL,#6F8EAA,111,142,170
COLOR_BEYOND_WORLD,#0A0610,10,6,16
COLOR_BEYOND_GRID,#251338,37,19,56
COLOR_BEYOND_WALL,#907AB0,144,122,176
LOBBY_0,#000000,0,0,0
LOBBY_1,#0A1B13,10,27,19
LOBBY_2,#23573F,35,87,63
LOBBY_3,#58CC91,88,204,145
LOBBY_4,#D8F2E4,216,242,228
